library,id,replicate,vp,content
wtDJ,1,rep1,VP1,3.5
wtDJ,1,rep1,VP2,9.4
wtDJ,1,rep1,VP3,47.2
wtDJ,2,rep2,VP1,1.7
wtDJ,2,rep2,VP2,8.1
wtDJ,2,rep2,VP3,50.2
wtDJ,3,rep3,VP1,2.6
wtDJ,3,rep3,VP2,8.9
wtDJ,3,rep3,VP3,48.5
DJ-nb,4,rep1,VP1,1.4
DJ-nb,4,rep1,VP2,13.3
DJ-nb,4,rep1,VP3,45.3
DJ-nb,5,rep2,VP1,4.0
DJ-nb,5,rep2,VP2,13.7
DJ-nb,5,rep2,VP3,42.3
DJ-nb,6,rep3,VP1,4.6
DJ-nb,6,rep3,VP2,14.8
DJ-nb,6,rep3,VP3,40.6
DJ-SNAP,7,rep1,VP1,3.1
DJ-SNAP,7,rep1,VP2,12.0
DJ-SNAP,7,rep1,VP3,45.0
DJ-SNAP,8,rep2,VP1,3.8
DJ-SNAP,8,rep2,VP2,31.4
DJ-SNAP,8,rep2,VP3,24.8
DJ-SNAP,9,rep3,VP1,7.0
DJ-SNAP,9,rep3,VP2,15.8
DJ-SNAP,9,rep3,VP3,37.1
DJ-FLAG,10,rep1,VP1,0.7
DJ-FLAG,10,rep1,VP2,15.6
DJ-FLAG,10,rep1,VP3,43.6
DJ-FLAG,11,rep2,VP1,0.8
DJ-FLAG,11,rep2,VP2,9.6
DJ-FLAG,11,rep2,VP3,49.6
DJ-FLAG,12,rep3,VP1,2.2
DJ-FLAG,12,rep3,VP2,13.0
DJ-FLAG,12,rep3,VP3,44.8
DJ-mMobA,13,rep1,VP1,1.3
DJ-mMobA,13,rep1,VP2,18.1
DJ-mMobA,13,rep1,VP3,40.6
DJ-mMobA,14,rep2,VP1,5.7
DJ-mMobA,14,rep2,VP2,18.7
DJ-mMobA,14,rep2,VP3,35.6
DJ-mMobA,15,rep3,VP1,2.0
DJ-mMobA,15,rep3,VP2,14.3
DJ-mMobA,15,rep3,VP3,43.7
DJ-WDV,16,rep1,VP1,4.4
DJ-WDV,16,rep1,VP2,16.2
DJ-WDV,16,rep1,VP3,39.4
DJ-WDV,17,rep2,VP1,4.9
DJ-WDV,17,rep2,VP2,15.6
DJ-WDV,17,rep2,VP3,39.6
DJ-WDV,18,rep3,VP1,4.5
DJ-WDV,18,rep3,VP2,15.0
DJ-WDV,18,rep3,VP3,40.5
DJ-DCV,19,rep1,VP1,1.7
DJ-DCV,19,rep1,VP2,22.2
DJ-DCV,19,rep1,VP3,36.1
DJ-DCV,20,rep2,VP1,0.7
DJ-DCV,20,rep2,VP2,18.9
DJ-DCV,20,rep2,VP3,40.3
DJ-SpyCatcher,21,rep1,VP1,0.7
DJ-SpyCatcher,21,rep1,VP2,17.9
DJ-SpyCatcher,21,rep1,VP3,41.4
DJ-SpyCatcher,22,rep2,VP1,5.8
DJ-SpyCatcher,22,rep2,VP2,20.6
DJ-SpyCatcher,22,rep2,VP3,33.7
DJ-SpyCatcher,23,rep3,VP1,2.3
DJ-SpyCatcher,23,rep3,VP2,18.3
DJ-SpyCatcher,23,rep3,VP3,39.4