id,gene,cond,tdt_pos
1,wtDJ,4,88.3
2,wtDJ,4,90.6
3,wtDJ,4,82.1
1,wtDJ,4g,79.9
2,wtDJ,4g,73.6
3,wtDJ,4g,58.4
1,wtDJ,4a,89.6
2,wtDJ,4a,88.9
3,wtDJ,4a,84.5
1,wtDJ,4ga,81.5
2,wtDJ,4ga,78.5
3,wtDJ,4ga,69.3
4,N664,4,68
5,N664,4,56.2
6,N664,4,58.2
4,N664,4g,43
5,N664,4g,19.9
6,N664,4g,20.4
4,N664,4a,68.2
5,N664,4a,54.3
6,N664,4a,54.2
4,N664,4ga,51.5
5,N664,4ga,35.2
6,N664,4ga,32.1
7,K708,4,57.3
8,K708,4,51.0
9,K708,4,64.4
7,K708,4g,27.0
8,K708,4g,24.5
9,K708,4g,34.1
7,K708,4a,58.9
8,K708,4a,58.0
9,K708,4a,62.6
7,K708,4ga,36.9
8,K708,4ga,36.1
9,K708,4ga,42.0